player,position,team,birth_year,minutes_90s,tackles,tackles_won,blocks,interceptions,clearances
Aaron Mooy,MF,Australia,1990,4,9,6,6,3,9
Aaron Ramsey,MF,Wales,1990,3,2,0,4,0,2
Abdelhamid Sabiri,MF,Morocco,1996,2,3,1,3,5,3
Abdelkarim Hassan,DF,Qatar,1993,3,7,3,3,1,5
Abderrazak Hamdallah,FW,Morocco,1990,0.8,0,0,0,0,2
Abdessamad Ezzalzouli,FW,Morocco,2001,1,3,2,4,0,3
Abdou Diallo,DF,Senegal,1996,3.7,2,2,1,1,10
Abdul Fatawu Issahaku,FW,Ghana,2004,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,1990,2.2,1,1,0,1,0
Abdulelah Al-Amri,DF,Saudi Arabia,1997,2,1,0,2,4,10
Abdulellah Al-Malki,MF,Saudi Arabia,1994,1.9,3,1,3,2,4
Abdullah Madu,DF,Saudi Arabia,1993,0.5,1,0,3,0,2
Abdulrahman Al-Aboud,MF,Saudi Arabia,1995,0.4,3,3,0,0,0
Abolfazl Jalali,DF,IR Iran,1998,0.2,0,0,0,0,1
Achraf Dari,DF,Morocco,1999,2.1,1,0,7,5,9
Achraf Hakimi,DF,Morocco,1998,7,26,17,7,9,12
Adrien Rabiot,MF,France,1995,5.4,12,9,11,10,6
Agustín Canobbio,MF,Uruguay,1998,0.1,1,1,1,0,0
Ahmad Nourollahi,MF,IR Iran,1993,2.5,4,3,3,6,8
Ahmed Alaaeldin,FW,Qatar,1993,0.1,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,1997,3,0,0,0,0,2
Ajdin Hrustic,MF,Australia,1996,0.7,2,0,0,1,1
Akram Afif,FW,Qatar,1996,3,0,0,0,0,0
Alan Franco,MF,Ecuador,1998,0.5,1,0,0,2,1
Alejandro Balde,DF,Spain,2003,1.4,6,6,2,0,2
Aleksandar Mitrović,FW,Serbia,1994,2.9,1,0,1,0,1
Alex Sandro,DF,Brazil,1991,2.1,8,3,1,3,9
Alex Telles,DF,Brazil,1992,0.7,2,2,0,0,1
Alexander Bah,DF,Denmark,1997,0.5,4,4,2,2,0
Alexander Djiku,DF,Ghana,1994,1.1,1,1,0,2,9
Alexis Mac Allister,MF,Argentina,1998,6.1,9,4,13,3,6
Alexis Vega,FW,Mexico,1997,2.1,0,0,1,1,2
Ali Abdi,DF,Tunisia,1993,2.1,8,5,1,4,13
Ali Al Hassan,MF,Saudi Arabia,1997,0.5,2,1,2,0,1
Ali Al-Bulaihi,DF,Saudi Arabia,1989,2.4,4,2,1,3,1
Ali Assadalla,MF,Qatar,1993,0.3,0,0,1,0,0
Ali Gholizadeh,MF,IR Iran,1996,2.2,0,0,5,3,2
Ali Karimi,MF,IR Iran,1994,1.1,3,3,0,3,1
Ali Maâloul,DF,Tunisia,1990,1,1,1,2,0,4
Alidu Seidu,DF,Ghana,2000,1.7,6,4,5,0,3
Alireza Beiranvand,GK,IR Iran,1992,1.2,0,0,0,0,2
Alireza Jahanbakhsh,MF,IR Iran,1993,0.7,1,1,2,1,0
Alisson,GK,Brazil,1992,4.2,0,0,0,0,2
Alistair Johnston,DF,Canada,1998,3,5,3,6,2,4
Almoez Ali,FW,Qatar,1996,2.5,1,0,0,1,1
Alphonso Davies,MF,Canada,2000,3,2,1,5,3,1
Amadou Onana,MF,Belgium,2001,1.2,4,1,1,0,0
Anass Zaroury,FW,Morocco,2000,0.3,0,0,2,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,1995,2.9,4,0,2,5,2
Andreas Christensen,DF,Denmark,1996,3,4,2,7,4,9
Andreas Cornelius,FW,Denmark,1993,1,0,0,0,0,1
Andreas Skov Olsen,FW,Denmark,1999,1.5,0,0,3,1,0
Andrej Kramarić,FW,Croatia,1991,5.3,3,2,6,0,0
Andries Noppert,GK,Netherlands,1994,5.3,0,0,0,0,4
Andrija Živković,DF,Serbia,1996,2.3,5,3,5,3,3
André Ayew,MF,Ghana,1989,2.2,4,1,1,0,3
André Onana,GK,Cameroon,1996,0.9,0,0,0,0,0
André Silva,FW,Portugal,1995,0.3,0,0,0,0,0
Andrés Guardado,MF,Mexico,1986,0.5,4,2,0,0,1
Anis Ben Slimane,MF,Tunisia,2001,1.6,3,1,2,1,1
Ansu Fati,FW,Spain,2002,0.5,1,1,0,0,0
Ante Budimir,FW,Croatia,1991,0.6,1,1,0,0,1
Anthony Contreras,FW,Costa Rica,2000,1.4,5,2,0,1,0
Antoine Griezmann,MF,France,1991,6,14,8,8,8,7
Antoine Semenyo,FW,Ghana,2000,0.2,0,0,0,0,0
Antonee Robinson,DF,United States,1997,4,5,4,3,7,8
Antonio Rüdiger,DF,Germany,1993,3,2,1,3,0,5
Antony,FW,Brazil,2000,1.9,3,0,3,1,1
António Silva,DF,Portugal,2003,1,1,1,2,1,1
Ao Tanaka,MF,Japan,1998,1.9,3,1,5,3,2
Ardon Jasari,FW,Switzerland,2002,0,0,0,0,0,0
Arkadiusz Milik,FW,Poland,1994,1.1,0,0,1,0,0
Artur Jędrzejczyk,DF,Poland,1987,0.2,0,0,0,0,1
Asiri Haitham,FW,Saudi Arabia,2001,0,0,0,2,0,1
Assim Madibo,MF,Qatar,1996,1.7,6,3,6,2,0
Atiba Hutchinson,MF,Canada,1983,1.8,4,1,3,1,3
Aurélien Tchouaméni,MF,France,2000,6.9,11,4,3,14,6
Awer Mabil,MF,Australia,1995,0.3,0,0,1,1,0
Axel Disasi,DF,France,1998,1,3,2,0,3,4
Axel Witsel,MF,Belgium,1989,3,4,2,5,4,6
Ayase Ueda,FW,Japan,1998,0.5,0,0,1,0,2
Aymeric Laporte,DF,Spain,1994,3.3,2,0,0,3,7
Aziz Behich,DF,Australia,1990,4,8,3,6,3,12
Azzedine Ounahi,MF,Morocco,2000,6.3,9,8,5,7,2
Aïssa Laïdouni,MF,Tunisia,1996,2.7,3,3,7,4,6
Baba Rahman,DF,Ghana,1994,2,5,3,1,1,3
Badr Banoun,DF,Morocco,1993,0.6,0,0,1,1,3
Bailey Wright,DF,Australia,1992,0.2,0,0,0,0,2
Bamba Dieng,FW,Senegal,2000,1.1,2,1,2,0,0
Bartosz Bereszyński,DF,Poland,1992,3.8,6,2,4,2,17
Bassam Al-Rawi,DF,Qatar,1997,1,0,0,0,0,7
Ben Davies,DF,Wales,1993,2.6,4,2,4,1,8
Benjamin Pavard,DF,France,1996,1,0,0,3,1,0
Bernardo Silva,MF,Portugal,1994,4,2,2,3,2,0
Bilal El Khannous,MF,Morocco,2004,0.6,0,0,1,0,2
Borna Barišić,DF,Croatia,1992,1.3,1,1,1,0,4
Borna Sosa,DF,Croatia,1998,4.7,14,6,4,2,18
Boualem Khoukhi,DF,Qatar,1990,3,2,2,6,3,18
Boulaye Dia,FW,Senegal,1996,3.5,1,0,1,1,3
Brandon Aguilera,MF,Costa Rica,2003,1,2,0,1,1,0
Breel Embolo,FW,Switzerland,1997,3.6,1,0,2,0,1
Brenden Aaronson,MF,United States,2000,1.2,3,2,5,1,0
Brennan Johnson,FW,Wales,2001,1,0,0,1,0,1
Bruno Fernandes,FW,Portugal,1994,4,4,3,7,2,4
Bruno Guimarães,MF,Brazil,1997,0.8,0,0,1,0,0
Bruno Petković,FW,Croatia,1994,2.6,6,4,3,0,0
Bryan Mbeumo,FW,Cameroon,1999,2.6,0,0,1,1,2
Bryan Oviedo,DF,Costa Rica,1990,2.9,6,5,3,3,7
Bryan Ruiz,MF,Costa Rica,1985,0.3,1,1,1,0,0
Bukayo Saka,FW,England,2001,3.2,7,4,5,2,2
Callum Wilson,FW,England,1992,0.5,0,0,0,0,0
Cameron Carter-Vickers,DF,United States,1997,1,0,0,1,0,4
Carlos Gruezo,MF,Ecuador,1995,0.5,2,2,0,0,0
Carlos Martínez,DF,Costa Rica,1999,0.5,1,1,1,1,1
Carlos Soler,MF,Spain,1997,1,0,0,0,0,0
Casemiro,MF,Brazil,1992,4.3,11,4,13,7,5
Celso Borges,MF,Costa Rica,1988,2.8,5,1,8,4,7
