player,position,team,birth_year,passes_completed,passes,assists
Aaron Mooy,MF,Australia,1990,170,217,0
Aaron Ramsey,MF,Wales,1990,88,112,0
Abdelhamid Sabiri,MF,Morocco,1996,45,58,1
Abdelkarim Hassan,DF,Qatar,1993,122,161,0
Abderrazak Hamdallah,FW,Morocco,1990,8,15,0
Abdessamad Ezzalzouli,FW,Morocco,2001,10,13,0
Abdou Diallo,DF,Senegal,1996,139,186,0
Abdul Fatawu Issahaku,FW,Ghana,2004,1,1,0
Abdulaziz Hatem,MF,Qatar,1990,72,91,0
Abdulelah Al-Amri,DF,Saudi Arabia,1997,74,104,0
Abdulellah Al-Malki,MF,Saudi Arabia,1994,66,84,0
Abdullah Madu,DF,Saudi Arabia,1993,5,13,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,1995,8,13,0
Abolfazl Jalali,DF,IR Iran,1998,20,29,0
Achraf Dari,DF,Morocco,1999,99,111,0
Achraf Hakimi,DF,Morocco,1998,312,382,1
Adrien Rabiot,MF,France,1995,237,284,1
Agustín Canobbio,MF,Uruguay,1998,5,7,0
Ahmad Nourollahi,MF,IR Iran,1993,35,54,0
Ahmed Alaaeldin,FW,Qatar,1993,0,2,0
Aimen Dahmen,GK,Tunisia,1997,48,77,0
Ajdin Hrustic,MF,Australia,1996,17,21,0
Akram Afif,FW,Qatar,1996,139,165,0
Alan Franco,MF,Ecuador,1998,10,11,0
Alejandro Balde,DF,Spain,2003,112,123,0
Aleksandar Mitrović,FW,Serbia,1994,54,69,0
Alex Sandro,DF,Brazil,1991,150,169,0
Alex Telles,DF,Brazil,1992,33,42,0
Alexander Bah,DF,Denmark,1997,37,53,0
Alexander Djiku,DF,Ghana,1994,22,28,0
Alexis Mac Allister,MF,Argentina,1998,234,265,1
Alexis Vega,FW,Mexico,1997,40,56,0
Ali Abdi,DF,Tunisia,1993,72,116,0
Ali Al Hassan,MF,Saudi Arabia,1997,4,7,0
Ali Al-Bulaihi,DF,Saudi Arabia,1989,78,97,0
Ali Assadalla,MF,Qatar,1993,21,23,0
Ali Gholizadeh,MF,IR Iran,1996,46,72,1
Ali Karimi,MF,IR Iran,1994,34,45,0
Ali Maâloul,DF,Tunisia,1990,39,63,0
Alidu Seidu,DF,Ghana,2000,59,78,0
Alireza Beiranvand,GK,IR Iran,1992,20,31,0
Alireza Jahanbakhsh,MF,IR Iran,1993,11,17,0
Alisson,GK,Brazil,1992,80,93,0
Alistair Johnston,DF,Canada,1998,147,186,0
Almoez Ali,FW,Qatar,1996,33,45,0
Alphonso Davies,MF,Canada,2000,82,114,0
Amadou Onana,MF,Belgium,2001,58,64,0
Anass Zaroury,FW,Morocco,2000,8,13,0
Andre-Frank Zambo Anguissa,MF,Cameroon,1995,113,130,1
Andreas Christensen,DF,Denmark,1996,237,251,0
Andreas Cornelius,FW,Denmark,1993,21,34,0
Andreas Skov Olsen,FW,Denmark,1999,43,63,0
Andrej Kramarić,FW,Croatia,1991,153,176,0
Andries Noppert,GK,Netherlands,1994,157,192,0
Andrija Živković,DF,Serbia,1996,71,96,2
André Ayew,MF,Ghana,1989,30,37,0
André Onana,GK,Cameroon,1996,45,59,0
André Silva,FW,Portugal,1995,9,11,0
Andrés Guardado,MF,Mexico,1986,11,16,0
Anis Ben Slimane,MF,Tunisia,2001,29,46,0
Ansu Fati,FW,Spain,2002,25,29,0
Ante Budimir,FW,Croatia,1991,2,5,0
Anthony Contreras,FW,Costa Rica,2000,15,26,0
Antoine Griezmann,MF,France,1991,258,329,3
Antoine Semenyo,FW,Ghana,2000,1,2,0
Antonee Robinson,DF,United States,1997,173,241,0
Antonio Rüdiger,DF,Germany,1993,229,252,0
Antony,FW,Brazil,2000,86,109,0
António Silva,DF,Portugal,2003,60,62,0
Ao Tanaka,MF,Japan,1998,48,69,0
Ardon Jasari,FW,Switzerland,2002,5,6,0
Arkadiusz Milik,FW,Poland,1994,19,29,0
Artur Jędrzejczyk,DF,Poland,1987,3,4,0
Asiri Haitham,FW,Saudi Arabia,2001,1,2,0
Assim Madibo,MF,Qatar,1996,58,70,0
Atiba Hutchinson,MF,Canada,1983,100,112,0
Aurélien Tchouaméni,MF,France,2000,426,474,0
Awer Mabil,MF,Australia,1995,10,14,0
Axel Disasi,DF,France,1998,61,78,0
Axel Witsel,MF,Belgium,1989,169,177,0
Ayase Ueda,FW,Japan,1998,7,12,0
Aymeric Laporte,DF,Spain,1994,413,438,0
Aziz Behich,DF,Australia,1990,152,203,0
Azzedine Ounahi,MF,Morocco,2000,216,265,0
Aïssa Laïdouni,MF,Tunisia,1996,99,123,1
Baba Rahman,DF,Ghana,1994,66,100,0
Badr Banoun,DF,Morocco,1993,21,22,0
Bailey Wright,DF,Australia,1992,1,3,0
Bamba Dieng,FW,Senegal,2000,9,16,0
Bartosz Bereszyński,DF,Poland,1992,122,156,0
Bassam Al-Rawi,DF,Qatar,1997,47,57,0
Ben Davies,DF,Wales,1993,122,161,0
Benjamin Pavard,DF,France,1996,82,90,0
Bernardo Silva,MF,Portugal,1994,256,292,0
Bilal El Khannous,MF,Morocco,2004,20,24,0
Borna Barišić,DF,Croatia,1992,50,69,0
Borna Sosa,DF,Croatia,1998,220,278,0
Boualem Khoukhi,DF,Qatar,1990,169,197,0
Boulaye Dia,FW,Senegal,1996,39,53,0
Brandon Aguilera,MF,Costa Rica,2003,27,38,0
Breel Embolo,FW,Switzerland,1997,46,62,0
Brenden Aaronson,MF,United States,2000,41,50,0
Brennan Johnson,FW,Wales,2001,10,17,0
Bruno Fernandes,FW,Portugal,1994,188,233,3
Bruno Guimarães,MF,Brazil,1997,43,54,0
Bruno Petković,FW,Croatia,1994,40,75,0
Bryan Mbeumo,FW,Cameroon,1999,49,85,0
Bryan Oviedo,DF,Costa Rica,1990,67,89,0
Bryan Ruiz,MF,Costa Rica,1985,8,12,0
Bukayo Saka,FW,England,2001,84,108,0
