player,position,team,birth_year,minutes_90s,goals,shots,shots_on_target
Aaron Mooy,MF,Australia,1990,4,0,1,0
Aaron Ramsey,MF,Wales,1990,3,0,1,0
Abdelhamid Sabiri,MF,Morocco,1996,2,0,3,0
Abdelkarim Hassan,DF,Qatar,1993,3,0,6,0
Abderrazak Hamdallah,FW,Morocco,1990,0.8,0,2,1
Abdessamad Ezzalzouli,FW,Morocco,2001,1,0,1,0
Abdou Diallo,DF,Senegal,1996,3.7,0,1,0
Abdul Fatawu Issahaku,FW,Ghana,2004,0,0,0,0
Abdulaziz Hatem,MF,Qatar,1990,2.2,0,1,1
Abdulelah Al-Amri,DF,Saudi Arabia,1997,2,0,1,0
Abdulellah Al-Malki,MF,Saudi Arabia,1994,1.9,0,2,0
Abdullah Madu,DF,Saudi Arabia,1993,0.5,0,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,1995,0.4,0,1,0
Abolfazl Jalali,DF,IR Iran,1998,0.2,0,0,0
Achraf Dari,DF,Morocco,1999,2.1,1,1,1
Achraf Hakimi,DF,Morocco,1998,7,0,4,1
Adrien Rabiot,MF,France,1995,5.4,1,9,4
Agustín Canobbio,MF,Uruguay,1998,0.1,0,0,0
Ahmad Nourollahi,MF,IR Iran,1993,2.5,0,5,1
Ahmed Alaaeldin,FW,Qatar,1993,0.1,0,0,0
Aimen Dahmen,GK,Tunisia,1997,3,0,0,0
Ajdin Hrustic,MF,Australia,1996,0.7,0,1,0
Akram Afif,FW,Qatar,1996,3,0,2,0
Alan Franco,MF,Ecuador,1998,0.5,0,0,0
Alejandro Balde,DF,Spain,2003,1.4,0,1,0
Aleksandar Mitrović,FW,Serbia,1994,2.9,2,10,3
Alex Sandro,DF,Brazil,1991,2.1,0,1,0
Alex Telles,DF,Brazil,1992,0.7,0,0,0
Alexander Bah,DF,Denmark,1997,0.5,0,2,0
Alexander Djiku,DF,Ghana,1994,1.1,0,0,0
Alexis Mac Allister,MF,Argentina,1998,6.1,1,7,4
Alexis Vega,FW,Mexico,1997,2.1,0,9,2
Ali Abdi,DF,Tunisia,1993,2.1,0,0,0
Ali Al Hassan,MF,Saudi Arabia,1997,0.5,0,1,0
Ali Al-Bulaihi,DF,Saudi Arabia,1989,2.4,0,0,0
Ali Assadalla,MF,Qatar,1993,0.3,0,0,0
Ali Gholizadeh,MF,IR Iran,1996,2.2,0,1,0
Ali Karimi,MF,IR Iran,1994,1.1,0,0,0
Ali Maâloul,DF,Tunisia,1990,1,0,0,0
Alidu Seidu,DF,Ghana,2000,1.7,0,1,0
Alireza Beiranvand,GK,IR Iran,1992,1.2,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,1993,0.7,0,3,0
Alisson,GK,Brazil,1992,4.2,0,0,0
Alistair Johnston,DF,Canada,1998,3,0,2,1
Almoez Ali,FW,Qatar,1996,2.5,0,3,1
Alphonso Davies,MF,Canada,2000,3,1,3,1
Amadou Onana,MF,Belgium,2001,1.2,0,2,0
Anass Zaroury,FW,Morocco,2000,0.3,0,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,1995,2.9,0,1,1
Andreas Christensen,DF,Denmark,1996,3,1,2,1
Andreas Cornelius,FW,Denmark,1993,1,0,5,2
Andreas Skov Olsen,FW,Denmark,1999,1.5,0,4,1
Andrej Kramarić,FW,Croatia,1991,5.3,2,10,4
Andries Noppert,GK,Netherlands,1994,5.3,0,0,0
Andrija Živković,DF,Serbia,1996,2.3,0,1,0
André Ayew,MF,Ghana,1989,2.2,1,1,1
André Onana,GK,Cameroon,1996,0.9,0,0,0
André Silva,FW,Portugal,1995,0.3,0,0,0
Andrés Guardado,MF,Mexico,1986,0.5,0,0,0
Anis Ben Slimane,MF,Tunisia,2001,1.6,0,1,1
Ansu Fati,FW,Spain,2002,0.5,0,0,0
Ante Budimir,FW,Croatia,1991,0.6,0,1,0
Anthony Contreras,FW,Costa Rica,2000,1.4,0,0,0
Antoine Griezmann,MF,France,1991,6,0,6,2
Antoine Semenyo,FW,Ghana,2000,0.2,0,1,0
Antonee Robinson,DF,United States,1997,4,0,0,0
Antonio Rüdiger,DF,Germany,1993,3,0,6,1
Antony,FW,Brazil,2000,1.9,0,6,2
António Silva,DF,Portugal,2003,1,0,0,0
Ao Tanaka,MF,Japan,1998,1.9,1,1,1
Ardon Jasari,FW,Switzerland,2002,0,0,0,0
Arkadiusz Milik,FW,Poland,1994,1.1,0,1,0
Artur Jędrzejczyk,DF,Poland,1987,0.2,0,0,0
Asiri Haitham,FW,Saudi Arabia,2001,0,0,0,0
Assim Madibo,MF,Qatar,1996,1.7,0,0,0
Atiba Hutchinson,MF,Canada,1983,1.8,0,2,0
Aurélien Tchouaméni,MF,France,2000,6.9,1,6,2
Awer Mabil,MF,Australia,1995,0.3,0,0,0
Axel Disasi,DF,France,1998,1,0,1,0
Axel Witsel,MF,Belgium,1989,3,0,1,0
Ayase Ueda,FW,Japan,1998,0.5,0,0,0
Aymeric Laporte,DF,Spain,1994,3.3,0,1,0
Aziz Behich,DF,Australia,1990,4,0,2,0
Azzedine Ounahi,MF,Morocco,2000,6.3,0,6,1
Aïssa Laïdouni,MF,Tunisia,1996,2.7,0,2,0
Baba Rahman,DF,Ghana,1994,2,0,0,0
Badr Banoun,DF,Morocco,1993,0.6,0,0,0
Bailey Wright,DF,Australia,1992,0.2,0,0,0
Bamba Dieng,FW,Senegal,2000,1.1,1,4,1
Bartosz Bereszyński,DF,Poland,1992,3.8,0,0,0
Bassam Al-Rawi,DF,Qatar,1997,1,0,0,0
Ben Davies,DF,Wales,1993,2.6,0,3,2
Benjamin Pavard,DF,France,1996,1,0,0,0
Bernardo Silva,MF,Portugal,1994,4,0,1,0
Bilal El Khannous,MF,Morocco,2004,0.6,0,0,0
Borna Barišić,DF,Croatia,1992,1.3,0,1,0
Borna Sosa,DF,Croatia,1998,4.7,0,2,0
Boualem Khoukhi,DF,Qatar,1990,3,0,0,0
Boulaye Dia,FW,Senegal,1996,3.5,1,8,3
Brandon Aguilera,MF,Costa Rica,2003,1,0,0,0
Breel Embolo,FW,Switzerland,1997,3.6,2,6,3
Brenden Aaronson,MF,United States,2000,1.2,0,1,0
Brennan Johnson,FW,Wales,2001,1,0,3,1
Bruno Fernandes,FW,Portugal,1994,4,2,7,2
Bruno Guimarães,MF,Brazil,1997,0.8,0,5,2
Bruno Petković,FW,Croatia,1994,2.6,1,1,1
Bryan Mbeumo,FW,Cameroon,1999,2.6,0,2,2
Bryan Oviedo,DF,Costa Rica,1990,2.9,0,0,0
Bryan Ruiz,MF,Costa Rica,1985,0.3,0,0,0
Bukayo Saka,FW,England,2001,3.2,3,7,5
Callum Wilson,FW,England,1992,0.5,0,0,0
Cameron Carter-Vickers,DF,United States,1997,1,0,0,0
Carlos Gruezo,MF,Ecuador,1995,0.5,0,0,0
Carlos Martínez,DF,Costa Rica,1999,0.5,0,0,0
Carlos Soler,MF,Spain,1997,1,1,4,1
Casemiro,MF,Brazil,1992,4.3,1,9,3
Celso Borges,MF,Costa Rica,1988,2.8,0,0,0
Charles De Ketelaere,FW,Belgium,2001,0.2,0,0,0
Charly Rodríguez,MF,Mexico,1997,0.4,0,0,0
Cheikhou Kouyaté,MF,Senegal,1989,0.8,0,0,0
Cho Guesung,FW,Korea Republic,1998,3.1,2,9,5
Cho Yumin,FW,Korea Republic,1996,0,0,0,0
Chris Mepham,DF,Wales,1997,3,0,0,0
Christian Bassogog,MF,Cameroon,1995,0.3,0,0,0
Christian Eriksen,MF,Denmark,1992,3,0,4,1
Christian Fassnacht,FW,Switzerland,1993,0.1,0,1,1
Christian Nørgaard,MF,Denmark,1994,0.1,0,0,0
Christian Pulisic,FW,United States,1998,3.5,1,9,5
Christopher Wooh,DF,Cameroon,2001,1,0,1,0
Cody Gakpo,FW,Netherlands,1999,5,3,5,3
Collins Fai,DF,Cameroon,1992,3,0,1,0
Connor Roberts,DF,Wales,1995,2.2,0,0,0
Craig Goodwin,MF,Australia,1991,2.6,1,2,1
Cristian Romero,DF,Argentina,1998,6.1,0,0,0
Cristiano Ronaldo,FW,Portugal,1985,3.2,1,10,2
Cyle Larin,FW,Canada,1995,1.5,0,3,1
César Azpilicueta,DF,Spain,1989,1.5,0,0,0
César Montes,DF,Mexico,1997,3,0,1,0
Daichi Kamada,FW,Japan,1996,3.6,0,6,1
Daizen Maeda,FW,Japan,1997,2,1,2,1
Daley Blind,DF,Netherlands,1990,4.7,1,5,2
Damian Szymański,MF,Poland,1995,0.3,0,0,0
Dani Alves,DF,Brazil,1983,1.3,0,3,0
Dani Carvajal,DF,Spain,1992,1.5,0,0,0
Dani Olmo,FW,Spain,1998,4.1,1,12,6
Daniel Amartey,DF,Ghana,1994,2.8,0,1,0
Daniel Chacón,MF,Costa Rica,2001,0,0,0,0
Daniel James,FW,Wales,1997,1.7,0,0,0
Daniel Kyereh,MF,Ghana,1996,0.4,0,0,0
Danilo,DF,Brazil,1991,3.1,0,2,0
Danilo Pereira,DF,Portugal,1991,1,0,0,0
Danny Ward,GK,Wales,1993,1,0,0,0
Darko Lazović,DF,Serbia,1990,0.3,0,1,0
Darwin Núñez,FW,Uruguay,1999,2.7,0,3,1
David Raum,DF,Germany,1998,2.7,0,0,0
David Wotherspoon,MF,Canada,1990,0.2,0,0,0
Davy Klaassen,MF,Netherlands,1993,2.1,1,2,1
Dayot Upamecano,DF,France,1998,5.3,0,1,0
DeAndre Yedlin,DF,United States,1993,0.4,0,0,0
Declan Rice,MF,England,1999,4.6,0,0,0
Dejan Lovren,DF,Croatia,1989,6.7,0,4,0
Denis Odoi,DF,Ghana,1988,0.1,0,0,0
Denis Zakaria,MF,Switzerland,1996,0.7,0,1,0
Denzel Dumfries,DF,Netherlands,1996,5.3,1,1,1
Devis Epassy,GK,Cameroon,1993,2,0,0,0
Diego Godín,DF,Uruguay,1986,1.7,0,1,0
Diogo Costa,GK,Portugal,1999,5,0,0,0
Diogo Dalot,DF,Portugal,1999,2.9,0,1,1
Djibril Sow,MF,Switzerland,1997,2.9,0,2,0
Djorkaeff Reasco,FW,Ecuador,1999,0.3,0,0,0
Dominik Livaković,GK,Croatia,1995,7.7,0,0,0
Dries Mertens,MF,Belgium,1987,0.8,0,3,1
Dušan Tadić,MF,Serbia,1988,2.9,0,1,0
Dušan Vlahović,FW,Serbia,2000,0.9,1,3,3
Dylan Bronn,DF,Tunisia,1995,1.8,0,1,0
Eden Hazard,MF,Belgium,1991,1.4,0,1,1
Ederson,GK,Brazil,1993,1,0,0,0
Edimilson Fernandes,FW,Switzerland,1996,1.6,0,1,0
Edinson Cavani,FW,Uruguay,1987,1.4,0,3,0
Edouard Mendy,GK,Senegal,1992,4,0,0,0
Edson Álvarez,MF,Mexico,1997,1.9,0,1,1
Eduardo Camavinga,DF,France,2002,1.6,0,0,0
Ehsan Hajsafi,MF,IR Iran,1990,2.6,0,1,0
Ellyes Skhiri,MF,Tunisia,1995,3,0,2,0
Emiliano Martínez,GK,Argentina,1992,7.7,0,0,0
Enner Valencia,FW,Ecuador,1989,2.8,3,8,3
Enzo Ebosse,DF,Cameroon,1999,1,0,0,0
Enzo Fernández,MF,Argentina,2001,6.3,1,8,3
Eray Cömert,DF,Switzerland,1998,0.5,0,0,0
Eric Dier,DF,England,1994,0.4,0,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,1989,2.8,1,3,2
Erick Gutiérrez,MF,Mexico,1995,0.5,0,0,0
Ethan Ampadu,MF,Wales,2000,2.8,0,1,0
Everton Ribeiro,MF,Brazil,1989,0.4,0,0,0
Exequiel Palacios,MF,Argentina,1998,0.6,0,1,0
Fabian Frei,MF,Switzerland,1989,0.3,0,0,0
Fabian Rieder,FW,Switzerland,2002,0.8,0,0,0
Fabian Schär,DF,Switzerland,1991,1.5,0,2,0
Fabinho,MF,Brazil,1993,1,0,0,0
Facundo Pellistri,MF,Uruguay,2001,2,0,1,0
Famara Diedhiou,FW,Senegal,1992,1,1,3,1
Federico Valverde,MF,Uruguay,1998,3,0,7,1
Ferjani Sassi,MF,Tunisia,1992,0.5,0,1,0
Ferrán Torres,FW,Spain,2000,2.4,2,3,1
Filip Kostić,DF,Serbia,1992,2,0,1,0
Filip Mladenović,DF,Serbia,1991,0.7,0,1,0
Filip Đuričić,MF,Serbia,1992,0.2,0,0,0
Firas Al-Buraikan,MF,Saudi Arabia,2000,3,0,2,0
Fodé Ballo-Touré,DF,Senegal,1997,0.1,0,0,0
Fran Karačić,DF,Australia,1996,1,0,3,0
Francisco Calvo,DF,Costa Rica,1992,2,0,1,0
Fred,MF,Brazil,1993,1.6,0,3,1
Frenkie de Jong,MF,Netherlands,1997,5.3,1,2,1
Félix Torres Caicedo,DF,Ecuador,1997,3,0,1,0
Gabriel Jesus,FW,Brazil,1997,1,0,2,1
Garang Kuol,FW,Australia,2004,0.4,0,1,1
Gareth Bale,FW,Wales,1989,2.5,1,1,1
Gavi,MF,Spain,2004,3.2,1,1,1
Gaël Ondoua,MF,Cameroon,1995,0.5,0,0,0
Georges-Kévin N'Koudou,FW,Cameroon,1995,0.3,0,1,1
Germán Pezzella,DF,Argentina,1991,0.7,0,1,0
Gerson Torres,MF,Costa Rica,1997,0.7,0,1,0
Ghaylène Chaalali,MF,Tunisia,1994,0.2,0,0,0
Gideon Mensah,DF,Ghana,1998,1,0,0,0
Gio Reyna,FW,United States,2002,0.6,0,2,0
Giorgian De Arrascaeta,MF,Uruguay,1994,1.2,2,3,3
Gleison Bremer,DF,Brazil,1997,1.2,0,1,0
Gonzalo Montiel,DF,Argentina,1997,1.3,0,1,0
Gonzalo Plata,MF,Ecuador,2000,3,0,2,1
Gonçalo Ramos,FW,Portugal,2001,1.7,3,7,5
Granit Xhaka,MF,Switzerland,1992,4,0,6,3
Gregor Kobel,GK,Switzerland,1997,1,0,0,0
Grzegorz Krychowiak,MF,Poland,1990,3.7,0,1,0
Guido Rodríguez,MF,Argentina,1994,0.6,0,0,0
Guillermo Ochoa,GK,Mexico,1985,3,0,0,0
Guillermo Varela,DF,Uruguay,1993,2,0,0,0
Haji Wright,FW,United States,1998,1.5,1,6,2
Hakim Ziyech,FW,Morocco,1993,7.1,1,10,2
Hannibal Mejbri,MF,Tunisia,2003,0.1,0,0,0
Haris Seferović,FW,Switzerland,1992,0.8,0,1,0
Harry Kane,FW,England,1993,4.5,2,10,5
Harry Maguire,DF,England,1993,4.8,0,6,1
Harry Souttar,DF,Australia,1998,4,0,1,0
Harry Wilson,MF,Wales,1997,1.8,0,2,0
Hassan Al Tambakti,DF,Saudi Arabia,1999,2,0,0,0
Hassan Al-Haydos,MF,Qatar,1990,2.3,0,1,1
Hattan Bahebri,MF,Saudi Arabia,1992,0,0,0,0
Henry Martín,FW,Mexico,1992,1.6,1,4,2
Hernán Galíndez,GK,Ecuador,1987,3,0,0,0
Hidemasa Morita,MF,Japan,1995,3.2,0,3,1
Hiroki Ito,DF,Japan,1999,0.5,0,0,0
Hiroki Sakai,MF,Japan,1990,1.3,0,1,0
Hirving Lozano,FW,Mexico,1995,2.8,0,6,3
Homam Ahmed,DF,Qatar,1999,2.9,0,0,0
Hong Chul,DF,Korea Republic,1990,0.5,0,0,0
Hossein Hosseini,GK,IR Iran,1992,1.8,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,1994,0.5,0,0,0
Hugo Lloris,GK,France,1986,6.3,0,0,0
Hwang Hee-chan,MF,Korea Republic,1996,1.3,1,6,5
Hwang In-beom,MF,Korea Republic,1996,3.7,0,6,1
Hwang Ui-jo,FW,Korea Republic,1992,1.2,0,1,0
Héctor Herrera,MF,Mexico,1990,1.8,0,0,0
Héctor Moreno,DF,Mexico,1988,3,0,1,0
Ibrahima Konaté,DF,France,1999,3.3,0,2,1
Idrissa Gana Gueye,MF,Senegal,1989,3,0,4,1
Ilias Chair,MF,Morocco,1997,0.5,0,0,0
Iliman Ndiaye,FW,Senegal,2000,1.5,0,2,0
Ismail Jakobs,DF,Senegal,1999,3.1,0,1,0
Ismail Mohamad,FW,Qatar,1990,1.9,0,2,2
Ismaila Sarr,FW,Senegal,1998,3.8,1,10,1
